id,title,authors,year,venue,database,search_string,doi,url,dedup_key,duplicate_notes
ACM009,"Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM","Gabriel Ryan, Siddhartha Jain, Mingyue Shang, Shiqi Wang, Xiaofei Ma, Murali Krishna Ramanathan, Baishakhi Ray",2024,"Proceedings of the ACM on Software Engineering (FSE)",ACM Digital Library,String A,10.1145/3643769,https://dl.acm.org/doi/10.1145/3643769,,
ACM010,"Domain Adaptation for Code Model-Based Unit Test Case Generation","Jiho Shin, Sepehr Hashtroudi, Hadi Hemmati, Song Wang",2024,"ISSTA 2024 – 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis",ACM Digital Library,String A,10.1145/3650212.3680354,https://dl.acm.org/doi/10.1145/3650212.3680354,,
ACM011,"CoverUp: Effective High Coverage Test Generation for Python","Juan Altmayer Pizzorno, Emery D. Berger",2025,"Proceedings of the ACM on Software Engineering (FSE)",ACM Digital Library,String A,10.1145/3729398,https://dl.acm.org/doi/10.1145/3729398,SS008,Trùng hoàn toàn từ hội nghị FSE 2025.
ACM012,"CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-Trained Large Language Models","Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,"ICSE 2023 – 45th International Conference on Software Engineering",ACM Digital Library,String A,10.1109/ICSE48619.2023.00085,https://dl.acm.org/doi/10.1109/ICSE48619.2023.00085,SS003 & IEEE004,Trùng lặp ba (cùng bài báo tại hội nghị ICSE 2023).
ACM013,"An initial investigation of ChatGPT unit test generation capability","(see paper)",2023,"SAST 2023 – 8th Brazilian Symposium on Systematic and Automated Software Testing",ACM Digital Library,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/10.1145/3624032.3624035,,
ACM014,"Optimizing Search-Based Unit Test Generation with Large Language Models: An Empirical Study","Danni Xiao, Yimeng Guo, Yanhui Li, Lin Chen",2024,"Internetware 2024 – 15th Asia-Pacific Symposium on Internetware",ACM Digital Library,String A,10.1145/3671016.3674813,https://dl.acm.org/doi/10.1145/3671016.3674813,,
ACM015,"Mutation-Guided LLM-based Test Generation at Meta","Mark Harman, Jillian Ritchey, Inna Harper, Shubho Sengupta, Ke Mao, Abhishek Gulati, Christopher Foster, Hervé Robert",2025,"FSE Companion 2025 – 33rd ACM International Conference on the Foundations of Software Engineering",ACM Digital Library,String A,10.1145/3696630.3728544,https://dl.acm.org/doi/10.1145/3696630.3728544,,
ACM016,"From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation","(see paper – no full text via Basic ACM access)",2025,"WSSE 2025 – 7th World Symposium on Software Engineering",ACM Digital Library,String A,10.1145/3779657.3779658,https://dl.acm.org/doi/full/10.1145/3779657.3779658,,
ACM017,"Test Intention Guided LLM-Based Unit Test Generation","Nan Z, Guo Z, Liu K, Xia X",2025,"ICSE 2025 – 47th International Conference on Software Engineering",ACM Digital Library,String A,10.1109/ICSE55347.2025.00243,https://dl.acm.org/doi/10.1109/ICSE55347.2025.00243,,
ACM018,"Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing","Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,"Information and Software Technology (published via ACM DL)",ACM Digital Library,String A,10.1016/j.infsof.2024.107468,https://dl.acm.org/doi/abs/10.1016/j.infsof.2024.107468,SS004,Trùng hoàn toàn từ tạp chí Information and Software Technology (2024).
IEEE001,"What Inputs Drive Effective Large Language Model-Based Unit Test Generation?","Saarang Agarwal, Pengyu Nie, Meiyappan Nagappan",2026,"IEEE Software",IEEE Xplore,String A - simplified,10.1109/ms.2025.3621625,https://doi.org/10.1109/ms.2025.3621625,,
IEEE002,"Automatic Unit Test Code Generation Using Large Language Models","Akdeniz Kutay Öçal, Mehmet Keskinöz",2024,"2024 32nd Signal Processing and Communications Applications Conference (SIU)",IEEE Xplore,String A - simplified,10.1109/siu61531.2024.10600772,https://doi.org/10.1109/siu61531.2024.10600772,,
IEEE003,"Mutation-Guided Unit Test Generation With a Large Language Model","Guancheng Wang, Qinghua Xu, Lionel Briand, Kui Liu",2026,"IEEE Transactions on Software Engineering",IEEE Xplore,String A - simplified,10.1109/tse.2026.3682975,https://doi.org/10.1109/tse.2026.3682975,SS001,Trùng hoàn toàn trên tạp chí IEEE TSE (2026).
IEEE004,"CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models","Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,"2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)",IEEE Xplore,String A - simplified,10.1109/icse48619.2023.00085,https://doi.org/10.1109/icse48619.2023.00085,SS003 & ACM012,Trùng lặp ba (cùng bài báo tại hội nghị ICSE 2023).
IEEE005,"A System for Automated Unit Test Generation using Large Language Models and Assessment of Generated Test Suites","Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bartolini",2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE Xplore,String A - simplified,10.1109/icstw64639.2025.10962454,https://doi.org/10.1109/icstw64639.2025.10962454,,
IEEE006,"From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation","Antonio Mastropaolo, Rick Kuhn, Jeffrey Voas",2025,"Computer",IEEE Xplore,String A - simplified,10.1109/mc.2025.3609478,https://doi.org/10.1109/mc.2025.3609478,,
IEEE007,"Automatic Unit Test Generation for Programming Assignments Using Large Language Models","Kaisheng Zheng, Yuanyang Shen, Yida Tao",2025,"2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T)",IEEE Xplore,String A - simplified,10.1109/cseet66350.2025.00031,https://doi.org/10.1109/cseet66350.2025.00031,,
IEEE008,"Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation","Tharindu Godage, Sivaraj Nimishan, Shanmuganathan Vasanthapriyan, Vigneshwaran Palanisamy, Charles Joseph, Selvarajah Thuseethan",2025,"2025 5th International Conference on Advanced Research in Computing (ICARC)",IEEE Xplore,String A - simplified,10.1109/icarc64760.2025.10962997,https://doi.org/10.1109/icarc64760.2025.10962997,,
IEEE009,"A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage","Jianlin Long, Renchao Qin, Zujun Jiang, Jialin Duan, Suonan Li, Xiaosheng Qu",2025,"2025 18th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",IEEE Xplore,String A - simplified,10.1109/cisp-bmei68103.2025.11259411,https://doi.org/10.1109/cisp-bmei68103.2025.11259411,,
IEEE010,"Evaluation of Large Language Models for Unit Test Generation","Metin Konuk, Cem Baglum, Ugur Yayan",2024,"2024 Innovations in Intelligent Systems and Applications Conference (ASYU)",IEEE Xplore,String A - simplified,10.1109/asyu62119.2024.10756954,https://doi.org/10.1109/asyu62119.2024.10756954,,
IEEE011,"Navigating the Labyrinth: Path-Sensitive Unit Test Generation with Large Language Models","Dianshu Liao, Xin Yin, Shidong Pan, Chao Ni, Zhenchang Xing, Xiaoyu Sun",2025,"2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)",IEEE Xplore,String A - simplified,10.1109/ase63991.2025.00063,https://doi.org/10.1109/ase63991.2025.00063,,
IEEE012,"Leveraging Large Language Models for Context-Aware Test Case Generation in Multi-Component Systems","Farinu Uthman Ayomide",,,"IEEE Xplore",String A - simplified,10.36227/techrxiv.173687815.53512548/v1,https://doi.org/10.36227/techrxiv.173687815.53512548/v1,,
IEEE013,"Large Language Models for Printed Circuit Board Test Generation","Albin Lidbäck, Erik Larsson",2025,"2025 IEEE 26th Latin American Test Symposium (LATS)",IEEE Xplore,String A - simplified,10.1109/lats65346.2025.10963941,https://doi.org/10.1109/lats65346.2025.10963941,,
IEEE014,"Enhancing Diffusion-Driven Test Input Generation using Large Language Model","Joonwoo Lee, Seungho Kim, Scott Uk-Jin Lee",2025,"2025 32nd Asia-Pacific Software Engineering Conference (APSEC)",IEEE Xplore,String A - simplified,10.1109/apsec66846.2025.00072,https://doi.org/10.1109/apsec66846.2025.00072,,
IEEE015,"Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation","Rongzhi Qi, Zhiyu Shen, Yadi Li",2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",IEEE Xplore,String A - simplified,10.1109/smc58881.2025.11343523,https://doi.org/10.1109/smc58881.2025.11343523,,
IEEE016,"Large Language Model-Enhanced Test Case Generation*","Qi Zhang, Rui Kang, Yitian Liu, Xiayu Cao",2025,"2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)",IEEE Xplore,String A - simplified,10.1109/cbase67452.2025.11335495,https://doi.org/10.1109/cbase67452.2025.11335495,,
IEEE017,"Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage","Dimitrije Stojanović, Bogdan Pavković, Nenad Četić, Momčilo Krunić, Luka Vidaković",2024,"2024 32nd Telecommunications Forum (TELFOR)",IEEE Xplore,String A - simplified,10.1109/telfor63250.2024.10819096,https://doi.org/10.1109/telfor63250.2024.10819096,,
IEEE018,"AI-Driven Test Case Generation Based on DeepSeek-Chat Large-Language Model","Na Li, Yimei Xu, Jiafan Luo, Jiaxin Fang",2025,"2025 5th International Symposium on Computer Technology and Information Science (ISCTIS)",IEEE Xplore,String A - simplified,10.1109/isctis65944.2025.11065082,https://doi.org/10.1109/isctis65944.2025.11065082,,
IEEE019,"Automated Structural Test Case Generation for Human-Computer Interaction Software Based on Large Language Model","Long Kang, Jun Ai, Minyan Lu",2024,"2024 11th International Conference on Dependable Systems and Their Applications (DSA)",IEEE Xplore,String A - simplified,10.1109/dsa63982.2024.00027,https://doi.org/10.1109/dsa63982.2024.00027,,
IEEE020,"Test Data Generation for Dynamic Unit Test in Java Language using Genetic Algorithm","Zhela Jalal Rashid, M. Fatih Adak",2021,"2021 6th International Conference on Computer Science and Engineering (UBMK)",IEEE Xplore,String A - simplified,10.1109/ubmk52708.2021.9558953,https://doi.org/10.1109/ubmk52708.2021.9558953,,
IEEE021,"Enhancing web UX Test Coverage Through Model-Based Practices: State Machine Driven Test Auto-Generation","Damodaran Chingleput Sathyakumar",2024,"2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering (ICSECE)",IEEE Xplore,String A - simplified,10.1109/icsece61636.2024.10729496,https://doi.org/10.1109/icsece61636.2024.10729496,,
IEEE022,"LLM-SRAF: Sub-Resolution Assist Feature Generation Using Large Language Model","Tianyi Li, Zhexin Tang, Tao Wu, Bei Yu, Jingyi Yu, Hao Geng",2025,"2025 Design, Automation &amp; Test in Europe Conference (DATE)",IEEE Xplore,String A - simplified,10.23919/date64628.2025.10993108,https://doi.org/10.23919/date64628.2025.10993108,,
IEEE023,"Large Language Model with Federated Retrieval-Augmented Generation for Improved Knowledge Retrieval","Xueqin Hou, Xijin Wang",,,"IEEE Xplore",String A - simplified,10.36227/techrxiv.171837853.31531482/v1,https://doi.org/10.36227/techrxiv.171837853.31531482/v1,,
IEEE024,"Code Generation from Flowchart using Optical Character Recognition &amp; Large Language Model","Aryaman Darda, Reetu Jain",,,"IEEE Xplore",String A - simplified,10.36227/techrxiv.171392799.96378624/v1,https://doi.org/10.36227/techrxiv.171392799.96378624/v1,,
IEEE025,"Leveraging Large Language Models for Python Unit Test","Medlen Jiri, Bari Emese, Patrick Medlen",2024,"2024 IEEE International Conference on Artificial Intelligence Testing (AITest)",IEEE Xplore,String A - simplified,10.1109/aitest62860.2024.00020,https://doi.org/10.1109/aitest62860.2024.00020,,
